"subject","activity","[mean of] tBodyAcc-mean()-X","[mean of] tBodyAcc-mean()-Y","[mean of] tBodyAcc-mean()-Z","[mean of] tBodyAcc-std()-X","[mean of] tBodyAcc-std()-Y","[mean of] tBodyAcc-std()-Z","[mean of] tGravityAcc-mean()-X","[mean of] tGravityAcc-mean()-Y","[mean of] tGravityAcc-mean()-Z","[mean of] tGravityAcc-std()-X","[mean of] tGravityAcc-std()-Y","[mean of] tGravityAcc-std()-Z","[mean of] tBodyAccJerk-mean()-X","[mean of] tBodyAccJerk-mean()-Y","[mean of] tBodyAccJerk-mean()-Z","[mean of] tBodyAccJerk-std()-X","[mean of] tBodyAccJerk-std()-Y","[mean of] tBodyAccJerk-std()-Z","[mean of] tBodyGyro-mean()-X","[mean of] tBodyGyro-mean()-Y","[mean of] tBodyGyro-mean()-Z","[mean of] tBodyGyro-std()-X","[mean of] tBodyGyro-std()-Y","[mean of] tBodyGyro-std()-Z","[mean of] tBodyGyroJerk-mean()-X","[mean of] tBodyGyroJerk-mean()-Y","[mean of] tBodyGyroJerk-mean()-Z","[mean of] tBodyGyroJerk-std()-X","[mean of] tBodyGyroJerk-std()-Y","[mean of] tBodyGyroJerk-std()-Z","[mean of] tBodyAccMag-mean()","[mean of] tBodyAccMag-std()","[mean of] tGravityAccMag-mean()","[mean of] tGravityAccMag-std()","[mean of] tBodyAccJerkMag-mean()","[mean of] tBodyAccJerkMag-std()","[mean of] tBodyGyroMag-mean()","[mean of] tBodyGyroMag-std()","[mean of] tBodyGyroJerkMag-mean()","[mean of] tBodyGyroJerkMag-std()","[mean of] fBodyAcc-mean()-X","[mean of] fBodyAcc-mean()-Y","[mean of] fBodyAcc-mean()-Z","[mean of] fBodyAcc-std()-X","[mean of] fBodyAcc-std()-Y","[mean of] fBodyAcc-std()-Z","[mean of] fBodyAcc-meanFreq()-X","[mean of] fBodyAcc-meanFreq()-Y","[mean of] fBodyAcc-meanFreq()-Z","[mean of] fBodyAccJerk-mean()-X","[mean of] fBodyAccJerk-mean()-Y","[mean of] fBodyAccJerk-mean()-Z","[mean of] fBodyAccJerk-std()-X","[mean of] fBodyAccJerk-std()-Y","[mean of] fBodyAccJerk-std()-Z","[mean of] fBodyAccJerk-meanFreq()-X","[mean of] fBodyAccJerk-meanFreq()-Y","[mean of] fBodyAccJerk-meanFreq()-Z","[mean of] fBodyGyro-mean()-X","[mean of] fBodyGyro-mean()-Y","[mean of] fBodyGyro-mean()-Z","[mean of] fBodyGyro-std()-X","[mean of] fBodyGyro-std()-Y","[mean of] fBodyGyro-std()-Z","[mean of] fBodyGyro-meanFreq()-X","[mean of] fBodyGyro-meanFreq()-Y","[mean of] fBodyGyro-meanFreq()-Z","[mean of] fBodyAccMag-mean()","[mean of] fBodyAccMag-std()","[mean of] fBodyAccMag-meanFreq()","[mean of] fBodyBodyAccJerkMag-mean()","[mean of] fBodyBodyAccJerkMag-std()","[mean of] fBodyBodyAccJerkMag-meanFreq()","[mean of] fBodyBodyGyroMag-mean()","[mean of] fBodyBodyGyroMag-std()","[mean of] fBodyBodyGyroMag-meanFreq()","[mean of] fBodyBodyGyroJerkMag-mean()","[mean of] fBodyBodyGyroJerkMag-std()","[mean of] fBodyBodyGyroJerkMag-meanFreq()"
"1","1","LAYING",0.2832948778,-0.01784790459,-0.10746959714,-0.8542722118,-0.770280181888,-0.8669984586,-0.097026802,0.4411038476,0.48312226658,-0.9690695824,-0.9849863322,-0.9839076516,0.074301077741,0.024199736014,0.007403560532,-0.819405129692,-0.751169405248,-0.8954575936,-0.0260431693048,-0.0961849746,0.11321495702,-0.8825146018,-0.8812620644,-0.848999291,-0.1039743352,-0.035442768338,-0.065255254094,-0.8262858514,-0.8865863788,-0.8362604122,-0.8238840682,-0.8531490304,-0.8238840682,-0.8531490304,-0.82069529988,-0.79129854804,-0.8356232038,-0.866192645,-0.8694315024,-0.862507583,-0.8417967728,-0.75920150116,-0.8717763478,-0.8599396878,-0.79073014434,-0.8743653502,-0.10952585444,0.23750565832,0.30381080962,-0.826424748,-0.77447170486,-0.8898884898,-0.82829556434,-0.74303190976,-0.8998563584,0.15374247482,0.042624787092,0.07153059814,-0.8443637622,-0.8797312308,-0.8261847182,-0.8947630668,-0.8832369256,-0.871549216,0.089083507284,0.045692898226,0.104575508602,-0.8297693432,-0.8914423208,0.2801197355,-0.79882326708,-0.782304251,0.37637708164,-0.8624334464,-0.8950798666,0.11578887016,-0.8773626864,-0.8541459406,0.25462714942
"2","1","SITTING",0.276756059361702,-0.0172905092382979,-0.107962654744681,-0.863160478723404,-0.771324772212766,-0.861439823404255,0.585840508085106,0.0227916687234043,0.265760107170213,-0.974642943617021,-0.973844572978723,-0.972298811914894,0.0802545387659575,0.00472155547425532,0.00290173227957447,-0.839815080638298,-0.765729033508511,-0.896198079148936,-0.0446762986085106,-0.0688946686893617,0.0993182961276596,-0.894762086382979,-0.890676509361702,-0.856253594255319,-0.0883779843404255,-0.0439838677744681,-0.0518597313191489,-0.848438836382979,-0.904284572553192,-0.857893221276596,-0.82965619,-0.846619278297872,-0.82965619,-0.846619278297872,-0.835224124680851,-0.805116281021277,-0.84365365787234,-0.871251198085106,-0.887508153191489,-0.882805503404255,-0.847128841276596,-0.75960271392766,-0.866081719787234,-0.870195611914894,-0.79249302212766,-0.869657441914894,-0.0154227879519149,0.160759828419149,0.202120480414894,-0.843778331702128,-0.776984942659575,-0.886528795106383,-0.850294584680851,-0.76946633462766,-0.904638274468085,0.193782522528426,-0.0325032048889362,0.0989265993829787,-0.855226861914894,-0.889771364680851,-0.835350370425532,-0.907647986170213,-0.89219079212766,-0.877322946382979,0.105695154638298,-0.11888142913617,0.0472147206340426,-0.827435942765957,-0.882560187234043,0.243550186793617,-0.799387092553192,-0.812954557680851,0.263338800319149,-0.870844930425532,-0.896313987234043,0.0338598486404255,-0.88964049106383,-0.882224725744681,0.196304590848936
"3","1","STANDING",0.276688076981132,-0.0168575939566038,-0.105370978188679,-0.982888676226415,-0.947864921698113,-0.948482039245283,0.907720126792453,-0.248927505602717,0.18347069609434,-0.977609803584906,-0.958950158490566,-0.945269356415094,0.0718019773962264,0.0124054531243396,0.0015232506654717,-0.980456812641509,-0.970172182264151,-0.982103793396226,-0.0349119316020755,-0.0705273103018868,0.0595465793886792,-0.975612726037736,-0.969233388867925,-0.956964915283019,-0.102004132603774,-0.0431198203962264,-0.0492561912622642,-0.981350554150943,-0.983033713962264,-0.973412552264151,-0.962129056226415,-0.945618538301887,-0.962129056226415,-0.945618538301887,-0.980292766226415,-0.974652307924528,-0.946123738113208,-0.949315002641509,-0.984339823962264,-0.977139273584906,-0.979973807169811,-0.95149298509434,-0.960966931698113,-0.984518435849057,-0.948759480754717,-0.945477585660377,0.0948725189792453,0.140182302137547,0.127862342066038,-0.980159953584906,-0.969527516415094,-0.979124416415094,-0.982705269056604,-0.973271143396226,-0.983737413018868,0.314707973245283,-0.00415788252264151,0.0303036660528302,-0.970099665660377,-0.97106715490566,-0.952915039056604,-0.97748404490566,-0.968560469811321,-0.962524231509434,-0.00107411847169811,-0.131561394020755,0.0440807443035849,-0.953615049433962,-0.949492698301887,0.140367328973585,-0.975168624339623,-0.972998553962264,0.228385874033962,-0.959028758490566,-0.951888412830189,-0.0588813950056604,-0.977730151509434,-0.977751552075472,0.164880372584906
"4","1","WALKING",0.267474573018419,-0.0172344935084641,-0.120370572102934,-0.534799594267471,-0.31754624061144,-0.467655618099286,0.862895798150633,-0.246080647146804,0.00405520126545799,-0.960550614706335,-0.947135983475643,-0.918710873666829,0.0805120023593106,-0.00199478831414468,-0.00875997858772051,-0.483305054760702,-0.429815628780139,-0.69381607701799,-0.0560116084158877,-0.0515319208750873,0.0899982007041407,-0.637969623041997,-0.670602574518223,-0.538043474541687,-0.0859013425672389,-0.0448017870842762,-0.0539366098661411,-0.627312708580427,-0.7545635481817,-0.631939724900657,-0.435816312377765,-0.454116299723412,-0.435816312377765,-0.454116299723412,-0.522333135280313,-0.437365758019409,-0.52517750407805,-0.60656003858875,-0.71013864371284,-0.709396226182029,-0.499632226538414,-0.338497689179852,-0.537977283381931,-0.550464675722576,-0.351913515293625,-0.473409065457085,-0.119605871097329,0.0182626292154595,-0.0471387702211479,-0.485030291628373,-0.442358336620575,-0.660528830456711,-0.530135543401479,-0.456898500928904,-0.726377350905012,0.060792347232176,-0.212728213852763,-0.150835534351168,-0.560108444970073,-0.671584179079418,-0.521564293072475,-0.664377709027589,-0.674514456618784,-0.590366424484425,-0.0968703304213518,-0.17538635274447,-0.0314235551243002,-0.417985858295347,-0.562256806846582,0.0985164149607474,-0.431760038653931,-0.449013313954085,0.153015101316103,-0.642275753214788,-0.652656550785973,-0.0452452052648697,-0.718071007243898,-0.719193695275689,0.0775912804250115
"5","10","LAYING",0.241126392272414,-0.00711976837241379,-0.0899649798137931,-0.892955962586207,-0.756883605637931,-0.734448574482759,0.349880551724138,0.437893382,0.316482904862069,-0.925905377068965,-0.922550451206897,-0.75942189187931,0.0740212013103448,0.0104366647637931,-0.0152369636862069,-0.918921067758621,-0.867545444310345,-0.924125182068966,-0.0107665670482759,-0.07548080425,0.0934107811896552,-0.844113605689655,-0.883305628965517,-0.887452649827586,-0.109909919396552,-0.0426971517758621,-0.0479145877806552,-0.897569924482759,-0.949929387068966,-0.931938229482759,-0.737726550344828,-0.75986795862069,-0.737726550344828,-0.75986795862069,-0.90266389637931,-0.898034312931035,-0.795355838793103,-0.827023462068965,-0.930360794827586,-0.943033417241379,-0.900866026551724,-0.799515311896552,-0.811811963448276,-0.890369330689655,-0.752386155256897,-0.718399157394828,-0.312383025648276,0.0160712107955172,0.00917472382758621,-0.923316430862069,-0.876817238103448,-0.918916139827586,-0.921777079827586,-0.866853501551724,-0.928166837758621,-0.01662377515,-0.178470068,-0.128233681331552,-0.845456257068966,-0.908673774310345,-0.891390127758621,-0.846005047241379,-0.871391989310345,-0.896784887758621,-0.16074409487931,-0.337937957448276,-0.0472504289586207,-0.817957944827586,-0.771698754086207,-0.027900946462069,-0.90125459862069,-0.893963810517241,0.224032195996552,-0.871637266551724,-0.830034342413793,-0.260752830827586,-0.946309052758621,-0.942775043448276,0.179132843005172
"6","10","SITTING",0.266522532222222,-0.0136703663875926,-0.111307779792593,-0.966060929444444,-0.872888172407407,-0.914600764259259,0.420423573703704,0.079335546962963,0.341301906762963,-0.93836846537037,-0.82381159137037,-0.883997605740741,0.079230785537037,0.0119622020562963,-0.0118033086861111,-0.985452894259259,-0.967297841296296,-0.983264374444444,-0.0157975574333333,-0.0713278470648148,0.103513485574074,-0.957284884074074,-0.966873525,-0.958163145740741,-0.10176961312963,-0.0391679476944444,-0.056830406412963,-0.97679362962963,-0.984966949259259,-0.984297585,-0.831161666259259,-0.882085232037037,-0.831161666259259,-0.882085232037037,-0.980116266481482,-0.97917377962963,-0.930787897777778,-0.935766750740741,-0.984078663888889,-0.983166964259259,-0.972285593148148,-0.907006256481481,-0.941575002777778,-0.964086480555556,-0.865946147222222,-0.907746800185185,-0.133134036792593,-0.050131041537037,0.0611955212759259,-0.985352542037037,-0.967782281851852,-0.980236008333333,-0.986945618148148,-0.969185840740741,-0.984989296666667,0.135664416753704,-0.129032194574074,0.0367034797403704,-0.957090725185185,-0.971898777592593,-0.962830892777778,-0.958035785,-0.964490161111111,-0.960633563518518,-0.178491772469074,-0.199591804209259,-0.0451901524435185,-0.921533740740741,-0.883113367222222,-0.0655949789666667,-0.978588706666667,-0.979079634444444,0.243786911,-0.95852799462963,-0.933602457037037,-0.235845041564815,-0.983530507962963,-0.983724163703704,0.132598106166667
"7","10","STANDING",0.277113430909091,-0.0184840579977273,-0.113640551909091,-0.788832580681818,-0.666151620886364,-0.706795414318182,0.956505292727273,-0.0703404288636364,0.0107129661302273,-0.984025761590909,-0.965001055681818,-0.944463990909091,0.0766120201136364,0.00509959587045455,-0.00029342712590909,-0.853208037045455,-0.823513708409091,-0.910935204772727,-0.0195856406590909,-0.0780036585863636,0.0781404980681818,-0.788938834318182,-0.756389298863636,-0.800858605227273,-0.106379932477273,-0.0382830455227273,-0.0509175513959091,-0.858668218636364,-0.920789570681818,-0.885038523181818,-0.716306306363636,-0.777539151818182,-0.716306306363636,-0.777539151818182,-0.856100361590909,-0.849361973636364,-0.706489248863636,-0.734178213818182,-0.896969412045455,-0.912853699545455,-0.805317984545455,-0.717719981363636,-0.804542797954545,-0.782985943636364,-0.662235612818182,-0.683192508863636,-0.1505418114,-0.105721936222727,-0.128320132643864,-0.852573811363636,-0.828010142272727,-0.899496197045455,-0.867721614090909,-0.831141758636364,-0.921383145454545,0.0249891721,-0.215835100620909,-0.163562555490909,-0.771854819772727,-0.830101394318182,-0.813309845,-0.796357284772727,-0.722498953409091,-0.815223195227273,-0.0700543540681818,-0.376594400681818,-0.116502239654545,-0.788375480909091,-0.8058773975,0.00109115631818181,-0.838074574090909,-0.865166312272727,0.228596673284773,-0.8012766225,-0.738717976477273,-0.220217129136364,-0.911220989545454,-0.921255147954545,0.123904875562273
"8","10","WALKING",0.276117179002492,-0.0195777193971207,-0.105631358833548,-0.608573647940893,-0.461357201656271,-0.625068077513892,0.522797909322579,0.126638176647866,0.241193834455947,-0.964560926917535,-0.964332258555819,-0.950452514428328,0.0973046052597241,0.00530493943255157,-0.0115071152130854,-0.695131462028143,-0.616904133273328,-0.783284876691176,0.00762635391773895,-0.101219967983324,0.105331520821137,-0.615976363847866,-0.699485798500743,-0.682310526021361,-0.103019384950005,-0.0415461691873075,-0.0598883681444908,-0.675007217394409,-0.851815966957538,-0.758174941525597,-0.54228532824934,-0.609445337919179,-0.54228532824934,-0.609445337919179,-0.682056255247981,-0.676465013069189,-0.556001454803216,-0.64072391218546,-0.783048386390198,-0.81070732990647,-0.645808966160705,-0.508962728026376,-0.693981728001225,-0.595895328477569,-0.471767998363976,-0.620484169539261,-0.318639871989747,-0.0378341860112637,0.0543465340622366,-0.707393003339003,-0.645583098661215,-0.7705794861394,-0.709970370473811,-0.61124852711887,-0.794642919154923,-0.140319857794325,-0.312380129638484,-0.179438723790281,-0.585378528527971,-0.759731154076289,-0.667684292065013,-0.629000623197655,-0.671424092518611,-0.716650112602527,-0.107582373144262,-0.256653554835834,-0.055488462163141,-0.618096222373126,-0.665575277426595,0.0473414310061414,-0.676770774352265,-0.679137155619388,0.16148064920068,-0.697502605883743,-0.666731067478741,-0.0588239092876437,-0.816743965083001,-0.816615459574327,0.0736418170814321
"9","11","LAYING",0.27760211122807,-0.0182942520508772,-0.106114805982456,-0.562712438070175,-0.450621286912281,-0.643549452631579,0.572594127017544,-0.000625000701754385,0.282174024877193,-0.977968534561404,-0.97948295631579,-0.976959947017544,0.078644034877193,0.0230775999192982,0.00186473817087719,-0.564358419473684,-0.51589630877193,-0.778626132982456,-0.0325385357859649,-0.0747553509857895,0.096363149945614,-0.779911042807018,-0.652396486666667,-0.674486578421053,-0.0963052513596491,-0.0418217945421053,-0.0502396398561403,-0.681224624385965,-0.805127215087719,-0.777214113333333,-0.510021741403509,-0.620368774912281,-0.510021741403509,-0.620368774912281,-0.580245664736842,-0.599170103333333,-0.64904912122807,-0.729329669298246,-0.75162271,-0.817263477719298,-0.562869674035088,-0.462083603508772,-0.683776146315789,-0.562793235438596,-0.479285699473684,-0.649661516666667,-0.32304542922807,0.114956607091228,0.0746052566708947,-0.593565100877193,-0.543452462807018,-0.75555850754386,-0.573041458596491,-0.518364792105263,-0.800625492982456,-0.201496217996491,-0.237320793508772,-0.0982655118982456,-0.707731724561404,-0.718359207894737,-0.680870087017544,-0.803180413859649,-0.620730858245614,-0.702635326842105,0.00956982281754386,-0.266124236205263,-0.0998838781280702,-0.595381265087719,-0.694170985789474,0.138407209964912,-0.586055806491228,-0.618663864561404,0.164308623403509,-0.742858260526316,-0.767290044035088,0.121709153445614,-0.80674935754386,-0.845640996842105,0.255136270205263
"10","11","SITTING",0.275184629811321,-0.0170291620754717,-0.106784888264151,-0.981087864150943,-0.973473288679245,-0.980301808301887,0.0743633426415094,0.559076164641509,0.397621314584906,-0.989695890377359,-0.993076352641509,-0.990752442264151,0.0701427701509434,0.0130964152622642,0.000700080389207547,-0.981307742264151,-0.975190626415094,-0.98727951490566,-0.0267364362396226,-0.0793587227258491,0.090012883509434,-0.988361122264151,-0.979533926415094,-0.98139435490566,-0.100585193264151,-0.0410960478867925,-0.0550301556792453,-0.987162294339623,-0.990128528867925,-0.989278955471698,-0.979059284716981,-0.982409220943396,-0.979059284716981,-0.982409220943396,-0.981513983018868,-0.984148638301887,-0.97719963509434,-0.979897695849057,-0.989374209811321,-0.990752193962264,-0.980569804150943,-0.972762897169811,-0.98299217754717,-0.981362918113208,-0.974596194716981,-0.979507205660377,-0.0334070810241509,0.261162935037736,0.291312559469811,-0.982206518301887,-0.97628546509434,-0.985264315660377,-0.982005480943396,-0.97568856509434,-0.987860851509434,0.174059978132075,0.0607510164660377,0.148333256698113,-0.985517134150943,-0.983374689433962,-0.981333498490566,-0.989253748113208,-0.977572837735849,-0.983088711698113,0.0986380203415094,-0.0978606697735849,0.187236881364151,-0.981840628867925,-0.984772317169811,0.379929450886792,-0.983814888113207,-0.983656777169811,0.423462685207547,-0.983141711698113,-0.981175321132076,0.155176571611321,-0.990444477169811,-0.991493259056604,0.336385277075472
